127.0.0.1 - - [04/Apr/2025:00:10:05 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:11:21 +0530] "GET /Cake_Shop/ HTTP/1.1" 200 15806
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:11:21 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:11:21 +0530] "GET /Cake_Shop/img/cball.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:11:21 +0530] "GET /Cake_Shop/b1.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:11:21 +0530] "GET /Cake_Shop/b4.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:11:21 +0530] "GET /Cake_Shop/b3.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:11:21 +0530] "GET /Cake_Shop/b2.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:11:21 +0530] "GET /Cake_Shop/b5.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:11:21 +0530] "GET /Cake_Shop/b7.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:11:21 +0530] "GET /Cake_Shop/b6.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:11:21 +0530] "GET /Cake_Shop/b8.jpeg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:11:32 +0530] "GET /Cake_Shop/cakedetail.jsp?cid=10 HTTP/1.1" 200 6207
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:11:32 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:11:32 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:11:32 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:11:32 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:12:30 +0530] "GET /Cake_Shop/cart.jsp HTTP/1.1" 200 4602
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:12:30 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:12:30 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:12:30 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:12:30 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:12:40 +0530] "GET /Cake_Shop/login.jsp HTTP/1.1" 200 6841
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:12:40 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:12:40 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:12:40 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:12:40 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:13:01 +0530] "POST /Cake_Shop/Login_servlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:13:01 +0530] "GET /Cake_Shop/index.jsp HTTP/1.1" 200 16154
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:13:01 +0530] "GET /Cake_Shop/img/cball.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:13:01 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:13:01 +0530] "GET /Cake_Shop/b2.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:13:01 +0530] "GET /Cake_Shop/b1.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:13:01 +0530] "GET /Cake_Shop/b4.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:13:01 +0530] "GET /Cake_Shop/b5.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:13:01 +0530] "GET /Cake_Shop/b6.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:13:01 +0530] "GET /Cake_Shop/b3.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:13:01 +0530] "GET /Cake_Shop/b7.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:13:01 +0530] "GET /Cake_Shop/b8.jpeg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:13:04 +0530] "GET /Cake_Shop/cart.jsp HTTP/1.1" 200 5928
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:13:04 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:13:04 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:13:04 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:13:04 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:13:14 +0530] "POST /Cake_Shop/placeorder.jsp HTTP/1.1" 200 5458
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:13:15 +0530] "GET /Cake_Shop/images/food/b4.webp HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:13:15 +0530] "GET /Cake_Shop/Images/minus.png HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:13:15 +0530] "GET /Cake_Shop/Images/add.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:18:25 +0530] "POST /Cake_Shop/placeorder.jsp HTTP/1.1" 200 5453
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:18:26 +0530] "GET /Cake_Shop/Images/minus.png HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:18:26 +0530] "GET /Cake_Shop/Images/add.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:18:26 +0530] "GET /Cake_Shop/images/b4.webp HTTP/1.1" 200 86256
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:20:29 +0530] "POST /Cake_Shop/placeorder.jsp HTTP/1.1" 200 5101
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:21:16 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 10313
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:21:16 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:21:16 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:21:16 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:21:16 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:21:16 +0530] "GET /Cake_Shop/images/step6%20(4).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:48:02 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 10111
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:48:02 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:48:02 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:48:02 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:48:02 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:49:02 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 10155
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:49:02 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:49:02 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:49:02 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:49:02 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:50:52 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 10157
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:50:52 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:50:52 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:50:52 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:50:52 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:51:28 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 10151
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:51:28 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:51:28 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:51:28 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:51:28 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:52:37 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 10152
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:52:37 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:52:37 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:52:37 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:52:37 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:54:42 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 10222
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:54:42 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:54:42 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:54:42 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:54:42 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:55:20 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 10244
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:55:20 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:55:20 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:55:20 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:55:20 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:55:55 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 10265
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:55:55 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:55:55 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:55:55 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:55:55 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:56:17 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 10266
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:56:17 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:56:17 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:56:17 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:56:17 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:56:36 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 10284
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:56:36 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:56:36 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:56:36 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:56:36 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:57:15 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 10308
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:57:15 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:57:15 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:57:15 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:57:15 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:57:46 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 10307
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:57:46 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:57:46 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:57:46 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:57:46 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:58:29 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 10312
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:58:29 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:58:29 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:58:29 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:58:29 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:01:02:06 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 10445
0:0:0:0:0:0:0:1 - - [04/Apr/2025:01:02:06 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:01:02:06 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Apr/2025:01:02:06 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Apr/2025:01:02:06 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:01:02:24 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 10452
0:0:0:0:0:0:0:1 - - [04/Apr/2025:01:02:24 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Apr/2025:01:02:24 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:01:02:24 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Apr/2025:01:02:24 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:01:03:05 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 10449
0:0:0:0:0:0:0:1 - - [04/Apr/2025:01:03:05 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Apr/2025:01:03:05 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:01:03:05 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Apr/2025:01:03:05 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:01:03:26 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 10449
0:0:0:0:0:0:0:1 - - [04/Apr/2025:01:03:26 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Apr/2025:01:03:26 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:01:03:26 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Apr/2025:01:03:26 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
