0:0:0:0:0:0:0:1 - - [06/Apr/2025:11:02:33 +0530] "GET /Cake_Shop/b1.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Apr/2025:11:02:33 +0530] "GET /Cake_Shop/b4.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Apr/2025:11:02:33 +0530] "GET /Cake_Shop/b5.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [06/Apr/2025:11:02:33 +0530] "GET /Cake_Shop/b8.jpeg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Apr/2025:11:02:33 +0530] "GET /Cake_Shop/b6.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Apr/2025:11:02:33 +0530] "GET /Cake_Shop/b7.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Apr/2025:11:03:22 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 10449
0:0:0:0:0:0:0:1 - - [06/Apr/2025:11:03:22 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [06/Apr/2025:11:03:22 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [06/Apr/2025:11:03:22 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [06/Apr/2025:11:03:22 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:16:40 +0530] "GET /Cake_Shop/index.jsp HTTP/1.1" 200 15806
0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:16:40 +0530] "GET /Cake_Shop/img/cball.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:16:40 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:16:40 +0530] "GET /Cake_Shop/b1.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:16:40 +0530] "GET /Cake_Shop/b2.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Apr/2025:13:16:40 +0530] "GET /Cake_Shop/b4.webp HTTP/1.1" 404 772
