0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:50 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:55 +0530] "POST /Cake_Shop/placeorder.jsp HTTP/1.1" 200 7857
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:55 +0530] "GET /Cake_Shop/Images/minus.png HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:55 +0530] "GET /Cake_Shop/images/food/b6.webp HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:55 +0530] "GET /Cake_Shop/Images/add.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:55 +0530] "GET /Cake_Shop/images/food/b3.avif HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:55 +0530] "GET /Cake_Shop/images/food/b1.avif HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:55 +0530] "GET /Cake_Shop/Images/add.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:55 +0530] "GET /Cake_Shop/Images/minus.png HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:48:23 +0530] "GET /Cake_Shop/confirmOrder.jsp?payment_id=pay_Q2i77BOH2w2CxY&amount=1690 HTTP/1.1" 404 746
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:48:28 +0530] "GET /Cake_Shop/deleteCart_servlet?cid=60 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:48:28 +0530] "GET /Cake_Shop/cart.jsp HTTP/1.1" 200 7116
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:48:28 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:48:28 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:48:28 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:48:28 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:48:37 +0530] "GET /Cake_Shop/deleteCart_servlet?cid=64 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:48:37 +0530] "GET /Cake_Shop/cart.jsp HTTP/1.1" 200 6147
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:48:37 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:48:37 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:48:37 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:48:37 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:48:38 +0530] "POST /Cake_Shop/placeorder.jsp HTTP/1.1" 200 5447
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:48:39 +0530] "GET /Cake_Shop/Images/minus.png HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:48:39 +0530] "GET /Cake_Shop/images/food/b3.avif HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:48:39 +0530] "GET /Cake_Shop/Images/add.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:50:15 +0530] "POST /Cake_Shop/placeorder.jsp HTTP/1.1" 200 5447
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:50:15 +0530] "GET /Cake_Shop/Images/minus.png HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:50:15 +0530] "GET /Cake_Shop/images/food/b3.avif HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:50:15 +0530] "GET /Cake_Shop/Images/add.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:50:40 +0530] "GET /Cake_Shop/confirmOrder.jsp?payment_id=pay_Q2i9UzwSYxBXzi&amount=500 HTTP/1.1" 404 746
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:51:39 +0530] "POST /Cake_Shop/placeorder.jsp HTTP/1.1" 200 5447
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:51:39 +0530] "GET /Cake_Shop/Images/minus.png HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:51:39 +0530] "GET /Cake_Shop/images/food/b3.avif HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:51:39 +0530] "GET /Cake_Shop/Images/add.png HTTP/1.1" 404 783
